age,p_mort_men,p_mort_women,p_cvd_mort_men,p_cvd_mort_women
119,0.236207165,0.207528923,0.073956386,0.066167309
120,0.236207165,0.207528923,0.073956386,0.066167309
121,0.236207165,0.207528923,0.073956386,0.066167309
122,0.236207165,0.207528923,0.073956386,0.066167309
123,0.236207165,0.207528923,0.073956386,0.066167309
124,0.236207165,0.207528923,0.073956386,0.066167309
125,0.236207165,0.207528923,0.073956386,0.066167309
126,0.236207165,0.207528923,0.073956386,0.066167309
127,0.236207165,0.207528923,0.073956386,0.066167309
128,0.236207165,0.207528923,0.073956386,0.066167309
129,0.236207165,0.207528923,0.073956386,0.066167309
130,0.236207165,0.207528923,0.073956386,0.066167309
131,0.236207165,0.207528923,0.073956386,0.066167309
132,0.236207165,0.207528923,0.073956386,0.066167309
133,0.236207165,0.207528923,0.073956386,0.066167309
134,0.236207165,0.207528923,0.073956386,0.066167309
135,0.236207165,0.207528923,0.073956386,0.066167309
136,0.236207165,0.207528923,0.073956386,0.066167309
137,0.236207165,0.207528923,0.073956386,0.066167309
138,0.236207165,0.207528923,0.073956386,0.066167309
139,0.236207165,0.207528923,0.073956386,0.066167309
140,0.236207165,0.207528923,0.073956386,0.066167309
141,0.236207165,0.207528923,0.073956386,0.066167309
142,0.236207165,0.207528923,0.073956386,0.066167309
143,0.236207165,0.207528923,0.073956386,0.066167309
144,0.236207165,0.207528923,0.073956386,0.066167309
145,0.236207165,0.207528923,0.073956386,0.066167309
146,0.236207165,0.207528923,0.073956386,0.066167309
147,0.236207165,0.207528923,0.073956386,0.066167309
148,0.236207165,0.207528923,0.073956386,0.066167309
149,0.236207165,0.207528923,0.073956386,0.066167309
150,0.236207165,0.207528923,0.073956386,0.066167309
151,0.236207165,0.207528923,0.073956386,0.066167309
152,0.236207165,0.207528923,0.073956386,0.066167309
153,0.236207165,0.207528923,0.073956386,0.066167309
154,0.236207165,0.207528923,0.073956386,0.066167309
155,0.236207165,0.207528923,0.073956386,0.066167309
156,0.236207165,0.207528923,0.073956386,0.066167309
157,0.236207165,0.207528923,0.073956386,0.066167309
158,0.236207165,0.207528923,0.073956386,0.066167309
159,0.236207165,0.207528923,0.073956386,0.066167309
160,0.236207165,0.207528923,0.073956386,0.066167309
161,0.236207165,0.207528923,0.073956386,0.066167309
162,0.236207165,0.207528923,0.073956386,0.066167309
163,0.236207165,0.207528923,0.073956386,0.066167309
164,0.236207165,0.207528923,0.073956386,0.066167309
165,0.236207165,0.207528923,0.073956386,0.066167309
166,0.236207165,0.207528923,0.073956386,0.066167309
167,0.236207165,0.207528923,0.073956386,0.066167309
